feature,domain,feature_type,included_primary,included_secondary_full_clinical,n_nonmissing,missing_pct
AGE,clinical,clinical,False,False,1241,3.4992223950233283
BMI,clinical,clinical,False,False,0,100.0
LH,endocrine,direct_primary_candidate,True,True,1132,11.975116640746501
FSH,endocrine,direct_primary_candidate,True,True,1132,11.975116640746501
TESTO_TOTAL,endocrine,direct_primary_candidate,False,False,0,100.0
TESTO_FREE,endocrine,direct_primary_candidate,False,False,0,100.0
SHBG,endocrine,direct_primary_candidate,True,True,1132,11.975116640746501
DHEAS,endocrine,direct_primary_candidate,True,True,1135,11.741835147744945
AMH,endocrine,direct_primary_candidate,True,True,1107,13.919129082426126
ANDRO,endocrine,direct_primary_candidate,True,True,1110,13.685847589424572
CORT_8,endocrine,direct_primary_candidate,True,True,1132,11.975116640746501
CORT_23,endocrine,direct_primary_candidate,True,True,1131,12.052877138413685
GLU0,metabolic,direct_primary_candidate,True,True,1116,13.21928460342146
GLU120,metabolic,direct_primary_candidate,True,True,1114,13.374805598755831
INS0,metabolic,direct_primary_candidate,True,True,1095,14.852255054432348
INS120,metabolic,direct_primary_candidate,False,False,350,72.78382581648522
TCHOL,metabolic,direct_primary_candidate,True,True,1134,11.81959564541213
LDL,metabolic,direct_primary_candidate,True,True,1134,11.81959564541213
HDL,metabolic,direct_primary_candidate,True,True,1134,11.81959564541213
TG,metabolic,direct_primary_candidate,True,True,1134,11.81959564541213
WBC,inflammatory,direct_primary_candidate,True,True,940,26.905132192846033
NEUT_ABS,inflammatory,direct_primary_candidate,True,True,901,29.937791601866255
LYMPH_ABS,inflammatory,direct_primary_candidate,True,True,901,29.937791601866255
MONO_ABS,inflammatory,direct_primary_candidate,True,True,901,29.937791601866255
PLT,inflammatory,direct_primary_candidate,True,True,940,26.905132192846033
RDW,inflammatory,direct_primary_candidate,True,True,940,26.905132192846033
MPV,inflammatory,direct_primary_candidate,True,True,940,26.905132192846033
PDW,inflammatory,direct_primary_candidate,True,True,941,26.827371695178847
PCT,inflammatory,direct_primary_candidate,True,True,940,26.905132192846033
PLCR,inflammatory,direct_primary_candidate,True,True,940,26.905132192846033
CRP,clinical,clinical,False,False,18,98.60031104199068
TSH,thyroid,direct_primary_candidate,True,True,1133,11.897356143079316
FT4,thyroid,direct_primary_candidate,True,True,1132,11.975116640746501
FT3,thyroid,direct_primary_candidate,False,False,5,99.61119751166407
ATA_TPO,thyroid,direct_primary_candidate,True,True,1041,19.05132192846034
ATA_TG,thyroid,direct_primary_candidate,True,True,956,25.660964230171075
LH_FSH_ratio,endocrine,derived_sensitivity_only,False,True,1132,11.975116640746501
FAI,endocrine,derived_sensitivity_only,False,False,0,100.0
HOMA_IR,metabolic,derived_sensitivity_only,False,True,1092,15.085536547433904
QUICKI,metabolic,derived_sensitivity_only,False,True,1092,15.085536547433904
TyG,metabolic,derived_sensitivity_only,False,True,1116,13.21928460342146
TG_HDL_ratio,metabolic,derived_sensitivity_only,False,True,1134,11.81959564541213
non_HDL,metabolic,derived_sensitivity_only,False,True,1134,11.81959564541213
CORT_ratio_23_8,endocrine,derived_sensitivity_only,False,True,1130,12.130637636080872
NLR,inflammatory,derived_sensitivity_only,False,True,901,29.937791601866255
PLR,inflammatory,derived_sensitivity_only,False,True,901,29.937791601866255
MLR,inflammatory,derived_sensitivity_only,False,True,901,29.937791601866255
SII,inflammatory,derived_sensitivity_only,False,True,901,29.937791601866255
