feature,domain
LH,endocrine
FSH,endocrine
SHBG,endocrine
DHEAS,endocrine
AMH,endocrine
ANDRO,endocrine
CORT_8,endocrine
CORT_23,endocrine
GLU0,metabolic
GLU120,metabolic
INS0,metabolic
TCHOL,metabolic
LDL,metabolic
HDL,metabolic
TG,metabolic
WBC,inflammatory
NEUT_ABS,inflammatory
LYMPH_ABS,inflammatory
MONO_ABS,inflammatory
PLT,inflammatory
RDW,inflammatory
MPV,inflammatory
PDW,inflammatory
PCT,inflammatory
PLCR,inflammatory
TSH,thyroid
FT4,thyroid
ATA_TPO,thyroid
ATA_TG,thyroid
