gamma,alpha,log_likelihood_per_sample,n_edges,density,EBIC,eligible_density_le_0_20
0.0,0.05,-32.808358642524624,141,0.3472906403940887,85392.55858714979,False
0.0,0.075,-33.58138891219883,99,0.2438423645320197,87080.10218075036,False
0.0,0.1,-34.22116280998629,87,0.21428571428571427,88639.68914300212,False
0.0,0.125,-34.782400080043416,73,0.17980295566502463,89982.9613149219,True
0.0,0.15,-35.25099578647111,67,0.16502463054187191,91145.23372042512,True
0.0,0.2,-35.98672731487656,47,0.11576354679802955,92894.349373388,True
0.0,0.25,-36.63769656599713,41,0.10098522167487685,94525.68653584133,True
0.0,0.3,-37.23620500512075,34,0.08374384236453201,96014.9351979337,True
0.0,0.4,-38.32041337544412,19,0.046798029556650245,98696.12974783342,True
0.0,0.5,-39.07092071978039,9,0.022167487684729065,100554.84171841835,True
0.0,0.6,-39.61462477291179,7,0.017241379310344827,101938.9299592627,True
0.25,0.05,-32.808358642524624,141,0.3472906403940887,85867.34729917788,False
0.25,0.075,-33.58138891219883,99,0.2438423645320197,87413.46446791902,False
0.25,0.1,-34.22116280998629,87,0.21428571428571427,88932.64388021095,False
0.25,0.125,-34.782400080043416,73,0.17980295566502463,90228.7739105109,True
0.25,0.15,-35.25099578647111,67,0.16502463054187191,91370.84254103422,True
0.25,0.2,-35.98672731487656,47,0.11576354679802955,93052.61227739736,True
0.25,0.25,-36.63769656599713,41,0.10098522167487685,94663.74566487077,True
0.25,0.3,-37.23620500512075,34,0.08374384236453201,96129.42325615324,True
0.25,0.4,-38.32041337544412,19,0.046798029556650245,98760.10836860316,True
0.25,0.5,-39.07092071978039,9,0.022167487684729065,100585.14738088823,True
0.25,0.6,-39.61462477291179,7,0.017241379310344827,101962.50103007261,True
0.5,0.05,-32.808358642524624,141,0.3472906403940887,86342.13601120598,False
0.5,0.075,-33.58138891219883,99,0.2438423645320197,87746.82675508768,False
0.5,0.1,-34.22116280998629,87,0.21428571428571427,89225.59861741976,False
0.5,0.125,-34.782400080043416,73,0.17980295566502463,90474.58650609992,True
0.5,0.15,-35.25099578647111,67,0.16502463054187191,91596.45136164331,True
0.5,0.2,-35.98672731487656,47,0.11576354679802955,93210.87518140674,True
0.5,0.25,-36.63769656599713,41,0.10098522167487685,94801.80479390023,True
0.5,0.3,-37.23620500512075,34,0.08374384236453201,96243.91131437277,True
0.5,0.4,-38.32041337544412,19,0.046798029556650245,98824.0869893729,True
0.5,0.5,-39.07092071978039,9,0.022167487684729065,100615.45304335811,True
0.5,0.6,-39.61462477291179,7,0.017241379310344827,101986.07210088252,True
0.75,0.05,-32.808358642524624,141,0.3472906403940887,86816.92472323407,False
0.75,0.075,-33.58138891219883,99,0.2438423645320197,88080.18904225634,False
0.75,0.1,-34.22116280998629,87,0.21428571428571427,89518.55335462859,False
0.75,0.125,-34.782400080043416,73,0.17980295566502463,90720.39910168893,True
0.75,0.15,-35.25099578647111,67,0.16502463054187191,91822.0601822524,True
0.75,0.2,-35.98672731487656,47,0.11576354679802955,93369.1380854161,True
0.75,0.25,-36.63769656599713,41,0.10098522167487685,94939.86392292967,True
0.75,0.3,-37.23620500512075,34,0.08374384236453201,96358.39937259232,True
0.75,0.4,-38.32041337544412,19,0.046798029556650245,98888.06561014264,True
0.75,0.5,-39.07092071978039,9,0.022167487684729065,100645.75870582799,True
0.75,0.6,-39.61462477291179,7,0.017241379310344827,102009.64317169243,True
1.0,0.05,-32.808358642524624,141,0.3472906403940887,87291.71343526217,False
1.0,0.075,-33.58138891219883,99,0.2438423645320197,88413.551329425,False
1.0,0.1,-34.22116280998629,87,0.21428571428571427,89811.50809183742,False
1.0,0.125,-34.782400080043416,73,0.17980295566502463,90966.21169727795,True
1.0,0.15,-35.25099578647111,67,0.16502463054187191,92047.6690028615,True
1.0,0.2,-35.98672731487656,47,0.11576354679802955,93527.40098942546,True
1.0,0.25,-36.63769656599713,41,0.10098522167487685,95077.92305195912,True
1.0,0.3,-37.23620500512075,34,0.08374384236453201,96472.88743081185,True
1.0,0.4,-38.32041337544412,19,0.046798029556650245,98952.04423091239,True
1.0,0.5,-39.07092071978039,9,0.022167487684729065,100676.06436829786,True
1.0,0.6,-39.61462477291179,7,0.017241379310344827,102033.21424250233,True
