feature,strength_median,strength_p025,strength_p975,bridge_strength_median,bridge_p025,bridge_p975,domain
SHBG,0.9083448778925821,0.7969219070309993,1.0267137108937143,0.720698671777778,0.6246068410146308,0.8242304963012047,endocrine
INS0,0.9061850349281615,0.7775769394182593,1.031886613511201,0.4629744110187223,0.3692862035391334,0.5494763514697296,metabolic
TG,0.9438200200774339,0.8374267640854106,1.0619753931232683,0.2446488640459982,0.16356437013856326,0.3356504380346867,metabolic
HDL,0.9088642669738567,0.7751240599897552,1.0581328616374175,0.21743032990778544,0.15956185834689066,0.2906445116775776,metabolic
FT4,0.19285436425364227,0.10095033354288557,0.2939570563004013,0.19285436425364227,0.10095033354288557,0.2906823252201063,thyroid
GLU120,0.2603540826586477,0.16033446718021824,0.3620125393727919,0.13778186167597295,0.08048307220010942,0.19962361040721002,metabolic
WBC,1.4514154710296738,1.372700687803683,1.524120698188992,0.13492768957400147,0.07418298773011761,0.20022060034920186,inflammatory
NEUT_ABS,0.8174674843844902,0.7471808095844295,0.915574943046706,0.12163199639100507,0.06364434005709783,0.2026740492788826,inflammatory
ANDRO,0.6311702921278969,0.5374285331592003,0.7291927487028913,0.12043778412838177,0.07066108007510435,0.17214751367128298,endocrine
ATA_TG,0.4249330945374907,0.35340218310770677,0.5078614361273419,0.11923559499395218,0.07066108007510435,0.1705908291158582,thyroid
TCHOL,1.186131138925579,1.1148847406067217,1.2711161347332751,0.07604250904019189,0.034951290908005674,0.12834750897239006,metabolic
PCT,1.0564377587511427,0.9754029365485942,1.1332547370773693,0.06560945862536544,0.029429636416039483,0.11146596605716597,inflammatory
PLT,1.0164647101785118,0.9686955099895046,1.0639476385568045,0.05878726109700737,0.025445663473800142,0.10764658049427496,inflammatory
CORT_23,0.1055479387010152,0.03061822172533543,0.20213260771230823,0.04927293474901204,0.004082734911682593,0.10722720979771856,endocrine
FSH,0.4742905728783709,0.3636593273508833,0.584287681681729,0.04168828526660909,0.0,0.09176948539552769,endocrine
LH,0.74880108618965,0.639506021870343,0.8526310789357017,0.03982920035497228,0.0,0.09702560242838118,endocrine
DHEAS,0.3155732562351986,0.2305322530294261,0.42692724999604964,0.035043705372146405,0.0,0.12045907842194259,endocrine
MONO_ABS,0.41367408042986276,0.34411765020605994,0.4846851089646925,0.029153861115726203,0.0,0.10086561916739636,inflammatory
GLU0,0.27634242026261724,0.17190015184679872,0.383793094036308,0.026371784753417518,0.0,0.07774230647712284,metabolic
CORT_8,0.07871000141614394,0.01363656738292673,0.17239304480795245,0.021644331496808177,0.0,0.07922683702280792,endocrine
TSH,0.02798784424166482,0.0,0.09988923707689526,0.021132907494463983,0.0,0.06691576200371749,thyroid
RDW,0.07366134812021809,0.027299899257567414,0.1406005193170312,0.011040878419119743,0.0,0.06705956194396975,inflammatory
LDL,0.8967644727774468,0.8461324017251131,0.9504401402867519,0.002744560133785372,0.0,0.03788813368966543,metabolic
LYMPH_ABS,0.3429722728811835,0.2951135108806565,0.4304596371693111,0.00021564286789560585,0.0,0.050652827857968936,inflammatory
ATA_TPO,0.3140878943777661,0.23638389517754793,0.3969719146960916,0.0,0.0,0.01421682479859228,thyroid
AMH,0.48514019429317007,0.38468306303397093,0.5848387388128095,0.0,0.0,0.017566796285065633,endocrine
MPV,1.0254486013828485,0.9939200636426393,1.0590920037521296,0.0,0.0,0.013126012978174305,inflammatory
PDW,0.8495002172868382,0.8251353759153605,0.8764641273869498,0.0,0.0,0.004279817615428103,inflammatory
PLCR,1.0660609654624889,1.0399412598092697,1.0879962928022031,0.0,0.0,0.0,inflammatory
